"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","Cluster"
"Carlos Carrasco","   6632","0.5","1.5","0.2","3.2","4.8","2.5","5.4","5.2","H"
"Luke Hochevar","   6943","1.3","0.9","1.7","2.2","1.4","1.1","0.1","0.2","C"
"Joe Coleman","1002428","1.7","2.5","2.8","2","7.1","3.9","4.4","1.5","N"
"John Denny","1003210","2.1","1.4","1.4","2.7","-0.2","1.9","2.2","2.2","D"
"Phil Niekro","1009583","0.4","-0.4","3.6","3.6","6.3","1.8","4.3","6","K"
"Scott Radinsky","1010641","0.4","1.2","0.5","0.9","-0.6","1.1","0.6","0.6","A"
"Buddy Groom","    143","0","0.1","0.2","-0.3","0.6","0.1","0.6","1.1","A"
"Felix Rodriguez","   1127","0.1","-0.2","0.5","1.7","2.1","0.5","0.2","0.2","C"
"Ted Power","1010504","-0.4","0","1.4","0.4","1.1","2","0.8","1.1","C"
"Randy Johnson","     60","1.6","2","2.6","3.4","7","5.2","9.5","1.6","K"
"Robb Nen","   1123","-0.3","1","1","2.8","0.6","3.6","1.3","2.5","D"
"Rich Rodriguez","   1276","0.3","-0.7","1","-0.5","0.1","-0.1","0.4","-0.1","A"
"Edward Mujica","   3970","0.1","0.5","0","0.8","0.4","0.1","0.2","-0.5","A"
"Brian Bohanon","1001126","-0.4","0.9","-0.2","0.1","0.3","1.2","1.1","1.7","A"
"Sid Fernandez","1004001","0.9","3.1","4","1.9","3.3","3.2","3.2","0.8","J"
"Omar Olivares","1009771","0.6","1.5","1.5","-0.1","-0.5","0","2","1.9","B"
"Camilo Pascual","1010039","4.3","5.3","6.8","5.4","4.1","2.1","1.5","2","M"
"Tyler Clippard","   5640","0.1","1.2","1.5","1.2","0.4","1.5","0.2","0.6","C"
"Len Barker","1000546","1.2","-0.5","2.4","5.2","4.6","5.8","3","2.3","N"
"Steve Bedrosian","1000766","2.6","1.4","1.8","1.7","0.3","0.8","0.6","-1.1","B"
"Lee Stange","1012400","0.5","1.9","1.6","1.8","2","3.5","0.4","0.9","E"
"Aaron Sele","     34","2.6","2.4","0.4","3.3","0.8","4.7","4.9","4.3","H"
"Todd Van Poppel","   1284","-0.2","-0.4","1.8","-1.1","0.3","0.5","0.7","0.1","A"
"Brandon Morrow","   9346","0.3","0.5","0.3","3.2","2.9","2.5","-0.2","0.4","C"
"Bob Locker","1007688","0.7","1.6","1.4","1","0.6","1.1","0.9","1.2","B"
"Kevin Tapani","1012824","0.6","3.5","4.6","4.5","4.3","3.4","2.2","2.7","I"
"Frank Castillo","    180","2.5","2.4","0.9","2.7","1.9","1.9","1","2","E"
"Chris Carpenter","   1292","1.1","2.8","2.9","0.7","2.3","0.5","3.1","6.3","H"
"Ervin Santana","   3200","1.6","3","0.8","5.3","0.8","2.1","2.5","-0.8","L"
"Shane Reynolds","    574","2.7","4.9","5.5","3","4.5","6","1.5","2.6","M"
"Omar Daal","    646","-0.7","0.6","0.2","3.5","3.7","0.7","1.5","1.5","C"
"Clay Buchholz","   3543","0.4","0.7","3.1","0.7","0.8","2.7","1.3","3.3","D"
"Donnie Moore","1009102","0.9","0.7","0.1","0.8","1.3","2.4","0.5","0.2","C"
"Ron Reed","1010773","2.6","3.9","1.5","2.9","3.1","2.5","3.3","6.9","H"
"Jeff Russell","1011314","0.7","1.7","0.3","0","0.3","2","2.1","-0.2","B"
"Albie Lopez","    102","-0.2","0.1","0","0.8","0.2","1.9","2.3","0.9","D"
"Roberto Hernandez","    605","1.7","1.9","0.8","1","3.2","1.2","0.4","2.2","C"
"Kip Wells","   1012","0.9","0.7","1.4","2.3","2.1","1.9","0.4","0.4","C"
"Jim O'Toole","1009897","3.5","5.6","4.6","4.8","5.9","0.9","1.8","0.6","M"
"Milt Wilcox","1013939","0.2","0.2","0.8","-0.5","-0.1","1.5","3","2.8","D"
