"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","Cluster"
"Mike Fetters","    988","-0.1","-0.1","0.5","0.1","0.9","0.5","1.4","1.2","0.5","-0.3","A"
"Ryan Franklin","   1076","-0.1","1.4","1","1.3","0.9","-0.6","0.7","-0.4","0.8","0.2","A"
"Jake Peavy","   1051","1.7","0.8","4.1","5.4","4.4","6.7","3.7","2.7","1.8","2.9","L"
"Woody Williams","   1190","0.2","0.5","0.3","0.9","1.4","1.3","1.5","1.9","2","1.9","D"
"Floyd Bannister","1000516","1.7","0","2.3","4.2","1.8","4.9","5","2","2.5","2.5","M"
"Jose DeLeon","1003168","3","2.9","1.8","0.8","2.4","4.6","4.6","2.8","1.8","1.2","M"
"Rollie Fingers","1004051","0.2","1.6","1","1.5","2.4","3.3","2.2","4.1","2.1","2.3","E"
"Dave Goltz","1004818","1.2","1.4","2.4","4","3.3","6","4.4","4.6","2","1","M"
"Steve Rogers","1011138","2.6","4.4","4.2","4.8","7","3.7","4.2","4","3","6.4","L"
"Stan Williams","1014039","3","4.6","0.7","2.6","0.7","1.6","3.2","1.1","1.4","-0.3","C"
"Jon Garland","    232","0.4","0.3","2.2","1.7","1.9","3.5","3.6","3.5","1.3","1.8","E"
"Rick White","    456","0.2","0.8","0.3","1.6","0.7","0.6","0.9","-0.2","-0.9","0.5","A"
"Jaime Navarro","1009465","1.8","2.1","3.1","4","2.4","1","3.3","3.2","3.2","-0.6","I"
"John Wetteland","1013815","1.7","-0.1","1.3","3.4","1.4","1.7","1.2","1.6","2","1.2","B"
"Pat Hentgen","    145","-0.3","2.2","3.5","2.5","6","3.8","0.7","1.9","2.2","0.9","H"
"Doug Drabek","1003473","1.5","2.7","2.4","2.5","4.2","3.9","4.8","4.1","2.9","2.6","M"
"Chuck Finley","    384","0.5","0.7","2.4","3.8","4.8","2.9","1.3","5.1","3.4","4.4","F"
"Jack Fisher","1004090","2.5","2.5","0.5","0.1","1.5","2.4","2","1.4","1.5","0.5","C"
"Bill Hands","1005303","1.2","1.6","3.1","6.5","6.4","3.7","3.8","1.9","2.3","1.5","L"
"Ken Johnson","1006477","0.8","0.6","4.5","4.1","2.9","3.9","2.3","1.9","0.7","0.6","H"
"Mickey Lolich","1007712","1.9","4.4","5.1","2.2","4.6","3.2","6","5.1","8.3","6.1","J"
"John Curtis","1002905","3.3","2.2","1.4","0.2","-0.3","0","0.5","0.8","1.6","-0.9","C"
"Moe Drabowsky","1003474","0.4","-0.1","2.4","0.6","0","1.3","1.4","0.2","0.8","0","A"
"Kevin Gregg","   1793","1.4","0","0.7","1.1","0.9","-0.3","0.8","-0.4","-0.2","0","A"
"Tim Hudson","    921","3.8","3.5","5.1","4.7","5.8","4.6","1.8","2.5","4.9","1.9","L"
"Terry Forster","1004236","0.5","2.3","3.1","3","0.8","1.3","0.9","1.6","0.1","0.7","G"
"Mark Portugal","1010460","1.3","-0.7","-0.7","1.6","1.7","0.9","0.7","3.4","1.2","2.2","E"
"Dave Roberts","1011031","-0.3","2.6","5.4","1.8","4.2","3.2","1.8","3.2","1.7","0.1","K"
"Mike Scott","1011691","0.3","1.3","0.3","1.7","2.2","1.7","8.6","5.4","3.5","2.6","M"
"Cliff Lee","   1636","0.7","1.1","3.8","2.3","0.1","6.8","6.4","7.4","7.1","4.9","J"
"Kerry Wood","    304","4.4","1.4","3.9","3.6","4.2","2.9","0.5","2.1","0.4","0.2","G"
"Roy Oswalt","    571","4.2","6.2","2.6","6.5","6.1","6.1","4.9","3.7","3.5","4.4","N"
"Pete Smith","1012191","0.2","1.9","2","0.8","0.2","1.3","0","-0.3","-0.1","0.5","A"
"Jorge De La Rosa","   2047","0.3","-0.3","0.4","2.4","3.3","1.4","1.5","2.8","1.8","1.8","E"
"Mike Boddicker","1001111","3.8","3.6","3.8","2.9","3.3","4","2.9","4.1","1.7","0.4","M"
"Pat Dobson","1003345","-0.5","0.6","1","3.2","5.6","4.9","1.8","4.4","2.2","3.6","E"
"Tug McGraw","1008545","0.1","-0.4","1.3","0.7","2","1.6","-0.1","-0.2","0.7","1.3","A"
"Nolan Ryan","1011348","0.6","1.7","1.1","0.6","5.4","8.7","6.8","2.4","5.3","6.6","J"
"Rafael Betancourt","    177","0.4","1.8","1.5","0.8","3.3","0.2","1.4","1.8","1.7","1.4","B"
"Bob Howry","    237","0.6","0.8","1.2","0.3","0.4","0.4","1.4","1.5","1.7","0.2","A"
"Willie Blair","1001033","0.8","-0.2","0.5","1","0.2","1.1","-0.3","3","-0.1","0.1","A"
"Tom Hume","1006179","0.1","2.2","2.6","1.4","-1","0.5","-1.2","-0.5","0","0.6","A"
"Rick Helling","     58","-0.3","0.4","0.3","3.5","1.3","2.6","2.1","1.5","0.4","1.4","B"
"Neil Allen","1000154","1.3","0.8","0.7","0.6","0.9","0.3","-0.4","1.8","0.4","-0.1","A"
"Mike Caldwell","1001830","2.2","1.8","1.5","0.5","1.4","1.1","6.3","4.4","1.1","0.2","M"
"Bruce Kison","1006978","1","1","0.2","0.9","1.7","3.2","2","1.5","3","0.6","D"
"Sam McDowell","1008476","0.1","0.6","3.7","8.7","4.4","2.8","6.8","9.4","7.6","1.4","O"
"Clyde Wright","1014272","0.2","0.6","0","0.3","2","3.9","1.4","0.8","1.9","0.3","D"
"Doug Jones","1006552","2.6","3.7","2.6","1.4","0.8","2.6","0.8","1.6","0.5","1","C"
"Bret Saberhagen","1011355","1.9","6.2","3.5","5.2","5.5","7.5","2.9","4.4","2","3.3","N"
"Zane Smith","1012218","1.9","3.3","3.7","1.6","2.2","4","4.6","2.2","1.2","1.5","K"
"James Shields","   7059","1.7","4","4.1","3.4","2.1","4.9","3.8","4.1","3.4","0.8","M"
"Mike LaCoss","1007240","0.6","2","1.3","-0.1","0.2","0.1","1.8","0","1.9","1.4","A"
"Steve Renko","1010835","0.1","1.4","1","-0.4","2.7","3.7","0.7","3.3","1.2","2","E"
"Scott Sanderson","1011422","1.3","2.5","2.7","2.2","2.9","0.6","3.6","2.2","2.7","1.1","I"
"Kelvim Escobar","   1298","0.8","1.9","2.3","1.9","2.7","0.5","3.4","4.2","1.5","4","E"
"Earl Wilson","1014073","0.6","1.9","2.3","1.5","3.5","4.2","1.7","3.6","3.3","1.7","E"
"Jack Morris","1009211","0.5","0.3","3.6","3.7","2.7","2.2","6.2","4","4.7","4","F"
"Elias Sosa","1012284","0.8","-0.4","-0.1","1.1","0.6","1.3","1.5","1.5","0.1","-0.6","A"
"Pete Falcone","1003910","0.9","2.5","-0.4","-0.8","0.8","1","1.2","-0.5","-0.3","-0.3","A"
"Aurelio Lopez","1007753","0.4","2.2","1.5","0.4","-0.5","1","0.4","-1","0.1","-0.4","A"
"Ricky Bones","1001161","0.9","-0.4","0.5","2.3","1.1","-0.4","0.3","0.4","-0.1","0.9","A"
"Jay Howell","1006098","1","2.9","2.3","0.9","0","2.2","1.5","0.8","1.1","0.5","C"
"Bob Tewksbury","1012941","2.2","0.4","0.3","2.9","2.6","4","4.3","2","3.2","3.8","F"
"Ron Kline","1007004","-0.2","2.3","0.5","1.1","0.8","0.5","-0.1","-0.3","0.3","-0.6","A"
"Dan Quisenberry","1010622","0","1.9","1.1","1.5","2.7","1.5","2.7","1.3","0.6","0.4","B"
"Darren Oliver","    206","0.2","0.7","2.3","1","1.4","3.3","0.9","1.2","0.1","2.2","B"
"Santiago Casilla","   2873","0.4","0.3","-0.2","0.6","0.3","-0.5","-0.2","0.4","0.2","0.1","A"
"Ray Culp","1002869","2.1","0.4","2.4","-0.5","0.4","3.8","4.1","5.3","4.6","0.5","M"
"Bronson Arroyo","    978","0.5","0.1","3.3","2.4","4.6","3.4","2.2","1.4","1.2","-1.6","H"
"Darren Holmes","     95","0.7","1","1","1.6","1.1","0.8","0.4","0.4","1","0.6","A"
"Pedro Martinez","    200","1.7","3.4","3","5.1","8.5","5.7","11.6","9.4","5.5","7.4","O"
"Rudy May","1008310","0.4","1.9","3","3.5","2.6","1.5","2.7","4","2.2","2.2","E"
"Rheal Cormier","    952","1.5","3","1.2","0.4","1.7","2","0.9","0.8","0.3","-0.2","C"
"Chris Bosio","1001212","-0.3","3.7","3","5.5","1.4","3.3","3.8","2.8","1.7","2","I"
"Dick Bosman","1001215","0.3","0.9","0.9","4.2","4.1","1","2.6","-0.6","1.4","1.6","B"
"Tom Underwood","1013281","3.4","2.2","1","2","2.7","2.7","1.3","1.3","0.9","-0.1","C"
"Moose Haas","1005172","1.8","0.3","1.3","4","1.9","3.6","2.9","3.1","2.1","1.6","E"
"Justin Speier","    451","0.6","0.2","0.4","0.5","0.4","0.4","1","0.5","-0.9","-0.1","A"
"Joe Beimel","    979","0.4","0","-0.4","0.2","1","0.5","0.3","0","-0.2","-0.8","A"
"Dave Veres","   1188","0.4","1.8","0.2","0.3","1.5","0.2","1.5","-0.2","-0.3","0.4","A"
"David Price","   3184","1.1","4.3","4.8","4.3","3.9","5.6","6.7","4.4","1.4","2.4","K"
"Joe Coleman","1002428","1.7","2.5","2.8","2","7.1","3.9","4.4","1.5","1.2","1.4","H"
"John Denny","1003210","2.1","1.4","1.4","2.7","-0.2","1.9","2.2","2.2","5.8","2.7","F"
"Phil Niekro","1009583","0.4","-0.4","3.6","3.6","6.3","1.8","4.3","6","3.2","7.2","J"
"Buddy Groom","    143","0","0.1","0.2","-0.3","0.6","0.1","0.6","1.1","1.1","1.9","A"
"Ted Power","1010504","-0.4","0","1.4","0.4","1.1","2","0.8","1.1","0.3","0.4","A"
"Randy Johnson","     60","1.6","2","2.6","3.4","7","5.2","9.5","1.6","7","7.6","J"
"Robb Nen","   1123","-0.3","1","1","2.8","0.6","3.6","1.3","2.5","2.4","3.1","E"
"Rich Rodriguez","   1276","0.3","-0.7","1","-0.5","0.1","-0.1","0.4","-0.1","-0.3","0.5","A"
"Brian Bohanon","1001126","-0.4","0.9","-0.2","0.1","0.3","1.2","1.1","1.7","1.8","2.1","D"
"Sid Fernandez","1004001","0.9","3.1","4","1.9","3.3","3.2","3.2","0.8","4.9","0.9","I"
"Omar Olivares","1009771","0.6","1.5","1.5","-0.1","-0.5","0","2","1.9","1.6","2.7","D"
"Camilo Pascual","1010039","4.3","5.3","6.8","5.4","4.1","2.1","1.5","2","2.7","-1.3","N"
"Tyler Clippard","   5640","0.1","1.2","1.5","1.2","0.4","1.5","0.2","0.6","0.2","0.5","A"
"Len Barker","1000546","1.2","-0.5","2.4","5.2","4.6","5.8","3","2.3","0.2","0.3","H"
"Steve Bedrosian","1000766","2.6","1.4","1.8","1.7","0.3","0.8","0.6","-1.1","-0.6","-0.8","C"
"Aaron Sele","     34","2.6","2.4","0.4","3.3","0.8","4.7","4.9","4.3","2.7","1.3","M"
"Todd Van Poppel","   1284","-0.2","-0.4","1.8","-1.1","0.3","0.5","0.7","0.1","0.3","0.4","A"
"Brandon Morrow","   9346","0.3","0.5","0.3","3.2","2.9","2.5","-0.2","0.4","0.4","1.6","B"
"Bob Locker","1007688","0.7","1.6","1.4","1","0.6","1.1","0.9","1.2","1.2","-0.2","A"
"Kevin Tapani","1012824","0.6","3.5","4.6","4.5","4.3","3.4","2.2","2.7","1.6","2.1","K"
"Frank Castillo","    180","2.5","2.4","0.9","2.7","1.9","1.9","1","2","2.2","1.8","C"
"Chris Carpenter","   1292","1.1","2.8","2.9","0.7","2.3","0.5","3.1","6.3","5","5.1","F"
"Ervin Santana","   3200","1.6","3","0.8","5.3","0.8","2.1","2.5","-0.8","2.6","3.2","I"
"Shane Reynolds","    574","2.7","4.9","5.5","3","4.5","6","1.5","2.6","0.3","1.4","K"
"Clay Buchholz","   3543","0.4","0.7","3.1","0.7","0.8","2.7","1.3","3.3","0.4","1.7","D"
"Ron Reed","1010773","2.6","3.9","1.5","2.9","3.1","2.5","3.3","6.9","2.2","1.7","M"
"Jeff Russell","1011314","0.7","1.7","0.3","0","0.3","2","2.1","-0.2","1.2","1.8","D"
"Roberto Hernandez","    605","1.7","1.9","0.8","1","3.2","1.2","0.4","2.2","1","0.5","C"
"Kip Wells","   1012","0.9","0.7","1.4","2.3","2.1","1.9","0.4","0.4","0.9","-0.2","B"
"Milt Wilcox","1013939","0.2","0.2","0.8","-0.5","-0.1","1.5","3","2.8","2","2.8","D"
