Player,IP,K/9,BB/9,HR/9,ERA+,zWAR
Andrew Bailey,29,9.93,3.72,2.17,71,-0.5
Vic Black,48.7,8.87,5.73,1.11,77,-0.5
Kevin Whelan,27,9,6,1.67,68,-0.5
J.B. Wendelken,67,7.79,2.69,1.34,82,-0.5
Jimmy Cordero,53,8.49,4.75,1.19,76,-0.5
Seth Rosin,68.7,6.81,2.75,1.18,79,-0.5
Aaron Northcraft,104.7,6.53,4.3,0.95,73,-0.5
Carlos Pimentel,118,7.4,4.35,1.22,72,-0.5
Chris Rearick,46.3,7.58,4.08,0.97,77,-0.5
Chris Stratton,126,6.64,4.36,1,75,-0.5
Ian Gardeck,64.3,7.98,5.6,0.7,81,-0.5
Cody Martin,127.7,8.03,4.02,1.41,73,-0.5
Brad Mills,111.3,6.39,3.48,1.29,72,-0.5
Adrian Sampson,155.3,6.14,2.2,1.45,72,-0.5
Bobby Korecky,49.7,6.34,2.9,1.27,82,-0.5
Conner Greene,122.7,6.67,3.74,1.47,74,-0.5
Donn Roach,124,3.85,2.98,1.09,75,-0.5
Casey Lawrence,134,4.63,2.28,1.28,75,-0.5
Brady Dragmire,69.3,5.58,2.86,1.04,84,-0.5
Eddie Gamboa,102.7,6.13,5.7,1.23,72,-0.6
Williams Jerez,66.7,7.29,4.05,1.21,81,-0.6
Brandon Brennan,58,5.59,5.43,1.4,66,-0.6
P.J. Francescon,68.7,6.94,4.19,1.31,76,-0.6
Chris Reed,98.7,6.38,5.11,1,76,-0.6
Trey Haley,43.7,8.24,5.97,1.03,76,-0.6
Joe Colon,81.7,6.28,3.86,1.1,74,-0.6
Adam Plutko,142.3,6.89,2.34,1.45,74,-0.6
Jose Ortega,53.3,7.09,6.08,1.18,80,-0.6
Josh Zeid,58.3,7.1,4.94,1.39,76,-0.6
Geoff Broussard,53.7,7.37,2.85,1.34,80,-0.6
Alex Sanabia,97.7,5.44,2.95,1.29,72,-0.6
Mason Melotakis,58,5.9,4.66,1.24,71,-0.6
Miguel Sulbaran,88,5.52,3.89,1.33,70,-0.6
Bryan Mitchell,108.3,6.9,4.82,1.25,72,-0.6
Eduard Santos,56.3,8.79,5.12,1.28,81,-0.6
Ben Lively,134,7.39,3.36,1.54,71,-0.6
Josh Martin,66,8.73,3.55,1.09,79,-0.6
Frank Garces,65.3,8.13,4.41,1.1,78,-0.6
Eury de la Rosa,67,8.06,4.57,0.94,78,-0.6
Frank Lopez,95.7,6.3,3.76,1.6,73,-0.6
Mike Kickham,84.7,6.27,5.21,1.28,72,-0.6
Bryan Harper,48.7,6.47,5.36,1.11,75,-0.6
Sugar Ray Marimon,112.7,5.83,3.67,1.44,72,-0.7
Pat McCoy,62,5.95,3.34,1.31,79,-0.7
Pedro Beato,60.7,6.82,3.86,1.48,77,-0.7
Matt Purke,62.7,5.74,4.02,1.72,67,-0.7
Peter Tago,61.3,7.93,6.02,1.17,76,-0.7
Jacob Turner,81.3,5.98,3.43,1.55,69,-0.7
Joshua Hodges,87.3,5.77,3.81,1.34,73,-0.7
T.J. House,85,6.14,3.81,1.16,71,-0.7
Brock Huntzinger,63.3,7.25,4.55,1.56,79,-0.7
Buck Farmer,120.3,6.73,3.22,1.65,73,-0.7
Logan Bawcom,67,6.58,3.63,0.94,79,-0.7
Josh Roenicke,93.7,5.28,3.36,1.54,71,-0.7
Pat Misch,72.7,4.83,3.09,1.61,69,-0.7
Brady Lail,132,5.45,3,1.43,72,-0.7
Jerome Williams,119.3,6.04,2.49,1.36,71,-0.7
Nick Greenwood,104.3,4.31,2.24,1.29,74,-0.7
Justin Hancock,107,5.64,4.12,0.93,70,-0.7
A.J. Schugel,115.3,5.78,3.2,1.25,70,-0.7
Greg Infante,48,7.69,6,1.13,77,-0.7
Mitchell Boggs,38.7,4.19,5.12,1.16,68,-0.8
Victor Mateo,139,4.86,3.76,1.29,72,-0.8
David Hess,131.3,6.58,4.94,1.37,72,-0.8
Branden Kline,77.3,5.36,4.08,1.63,67,-0.8
Sean O¡¯Sullivan,129,5.09,3,1.4,72,-0.8
Tim Crabbe,91,6.53,3.96,1.58,71,-0.8
Phillippe Aumont,68.3,8.7,7.77,1.32,69,-0.8
Keyvius Sampson,115.7,8.01,5.37,1.4,71,-0.8
Jorge de Leon,62.7,5.89,3.88,1.15,77,-0.8
Bruce Chen,38.3,6.81,2.11,1.88,62,-0.8
Mike Clevinger,99.7,7.4,3.79,1.53,71,-0.8
Ryan Carpenter,115.3,5.78,3.2,2.03,71,-0.8
Jose Valdez,57,7.11,6.16,1.26,74,-0.8
Nate Smith,117.3,6.29,3.45,1.46,71,-0.8
Daniel Tillman,48,7.13,4.69,1.5,72,-0.8
Seth Lugo,106,7.98,3.31,1.53,70,-0.8
Barry Zito,93.3,5.02,4.63,1.35,69,-0.8
John Richy,114.7,6.2,3.37,1.41,69,-0.8
Zach Eflin,124,5.15,2.25,1.45,69,-0.8
Jayson Aquino,115.3,5.15,3.12,1.41,71,-0.8
Robbie Erlin,124.3,6.95,2.68,1.38,70,-0.8
Anthony Bass,74,5.96,2.8,1.22,73,-0.8
John Anderson,82.3,6.12,4.59,1.42,71,-0.8
Scott Copeland,131,4.81,3.5,1.37,72,-0.8
Zach Bird,101,7.4,6.5,1.25,68,-0.9
Parker Bridwell,106.7,7.42,5.15,1.52,70,-0.9
Chipper Smith,92.3,6.63,4.39,1.66,69,-0.9
Matt Hobgood,45.3,5.17,5.56,1.19,69,-0.9
Hector Noesi,109.7,6.56,3.28,1.8,70,-0.9
Felipe Paulino,61.3,6.46,4.4,1.62,64,-0.9
Brett Marshall,73,5.92,5.55,1.85,66,-0.9
Angel Nesbitt,63.3,6.26,4.12,1.28,76,-0.9
Lucas Luetge,61.7,7,3.94,1.31,75,-0.9
Eric Wooten,87.3,5.77,3.09,1.65,67,-0.9
Tom Windle,104,6.06,4.59,1.21,68,-0.9
Ryan O¡¯Sullivan,71,5.58,4.31,1.14,69,-0.9
Angel Sanchez,124.7,5.85,3.46,1.3,70,-0.9
Ricky Romero,42,5.14,7.07,1.07,59,-0.9
Christopher Lee,119,5.07,4.99,1.21,70,-1
Pat Light,73,6.16,4.56,1.6,67,-1
Arcenio Leon,40.7,6.63,7.3,1.55,62,-1
Rob Zastryzny,86.3,6.99,3.75,1.77,66,-1
Miguel Celestino,65.7,7.95,4.25,1.64,72,-1
Melvin Mercedes,61,5.31,3.1,1.48,73,-1
Joshua Turley,116.7,5.48,3.01,1.7,71,-1
Brady Rodgers,117.3,6.06,2.07,1.61,70,-1
Kyle Davies,110.3,5.47,2.69,1.63,68,-1
Kyle Haynes,87,6.41,5.17,1.24,69,-1
Daniel McCutchen,89,6.27,2.43,1.62,67,-1
Luis Perdomo,100.7,6.61,3.57,1.34,67,-1
Joe Saunders,66.7,5.4,3.24,1.48,64,-1
Chien-Ming Wang,116.3,3.48,2.79,1.01,67,-1
Austin Bibens-Dirkx,112,6.67,2.89,1.85,71,-1
Asher Wojciechowski,113,6.45,3.42,1.59,69,-1.1
Kyle McGowin,109.3,6.01,3.21,1.56,68,-1.1
Pat Dean,147.3,4.22,2.08,1.47,70,-1.1
Rookie Davis,120,6.75,3.15,1.65,68,-1.1
Vicente Campos,68,5.82,2.51,2.12,62,-1.1
Jason Berken,116.7,5.55,3.01,1.54,66,-1.1
Adam Morgan,101.7,5.31,3.01,1.59,65,-1.1
Isaac Sanchez,63.7,5.93,4.1,1.27,70,-1.1
Jose Leclerc,80,7.65,6.86,1.58,66,-1.1
Andrew Albers,116.3,5.49,2.63,1.7,69,-1.1
David Holmberg,132,5.66,3.48,1.7,69,-1.2
Montreal Robertson,67.7,5.85,5.45,1.2,70,-1.2
Matt Tracy,92.7,5.63,4.37,1.46,66,-1.2
Zach Neal,150.3,4.61,2.22,1.62,70,-1.2
Scott Diamond,136.3,4.42,2.05,1.78,69,-1.2
Shawn Haviland,112.3,5.45,3.77,1.6,68,-1.3
Jorge Ortega,117.3,4.22,1.3,1.92,66,-1.3
Nate Long,114.3,5.91,4.25,1.65,67,-1.3
Justin Germano,134,4.9,1.88,1.54,67,-1.3
Tyler Danish,123,5.56,3.95,1.68,66,-1.4
Myles Jaye,134.7,5.35,3.67,1.67,66,-1.4
Nick Maronde,70,8.36,4.76,1.8,64,-1.4
Ross Seaton,101.7,4.42,2.57,1.68,66,-1.4
Chris Devenski,110.3,6.45,3.02,1.71,67,-1.4
Severino Gonzalez,132.7,5.9,2.03,1.63,66,-1.4
Lendy Castillo,54,6,6.33,1.67,62,-1.5
Jairo Labourt,94.3,6.59,6.97,1.53,63,-1.5
Kurt Spomer,62.7,4.45,4.16,1.58,67,-1.5
Thad Weber,124.3,5.21,2.82,1.88,67,-1.5
Caleb Smith,112.7,6.55,4.95,1.68,64,-1.5
Alec Asher,146.7,6.93,2.64,1.9,65,-1.5
Kyle Schepel,62,6.97,6.1,1.45,60,-1.5
Tim Melville,104,6.49,4.85,1.82,62,-1.6
Ryan Merritt,150,5.34,1.74,1.56,68,-1.6
Daniel Corcino,81.3,6.53,5.31,1.66,60,-1.6
Jesse Biddle,106.7,7,4.89,1.69,62,-1.6
Nik Turley,93.3,7.14,5.4,2.12,61,-1.7
Jarrett Grube,99.3,6.62,3.17,1.9,63,-1.7
Joely Rodriguez,121.3,5.27,3.86,1.41,63,-1.7
Anthony Vasquez,104,5.37,3.55,1.73,61,-1.7
Wilson Santos,53,5.77,5.77,1.53,59,-1.7
Matt Lollis,66.3,7.19,5.57,1.9,63,-1.8
Greg Peavey,122.7,5.21,3.01,1.76,64,-1.9
Jason Lane,133.7,4.04,2.36,1.48,63,-1.9
Mike Belfiore,99.3,5.44,3.99,2.08,60,-2
Zack Dodson,122.3,4.56,3.46,1.84,63,-2
Gabriel Ynoa,143.7,5.26,2.07,1.63,64,-2.1
Nick Pivetta,116.3,6.66,4.49,1.93,60,-2.1
Shawn Morimando,134.3,6.5,4.69,1.54,63,-2.3
Jason Wheeler,127.3,5.09,3.46,1.84,61,-2.3
Tyler Pike,112.3,7.05,5.45,1.76,58,-2.5
J.C. Sulbaran,106.7,6.07,5.06,2.11,57,-2.6
Toru Murata,131.3,5.21,2.67,2.06,58,-3.1
Michael Roth,112.3,5.29,3.93,1.92,56,-3.2
Will Roberts,141,4.98,2.11,1.98,59,-3.3
